oclPhold, Platform Name = NVIDIA CUDA, Platform Version = OpenCL 1.2 CUDA 7.5.18, SDK Revision = 7027912, NumDevs = 1, Device = GeForce GTX TITAN Black
oclPhold, Platform Name = NVIDIA CUDA, Platform Version = OpenCL 1.2 CUDA 7.5.18, SDK Revision = 7027912, NumDevs = 1, Device = GeForce GTX TITAN Black
oclPhold, Platform Name = NVIDIA CUDA, Platform Version = OpenCL 1.2 CUDA 7.5.18, SDK Revision = 7027912, NumDevs = 1, Device = GeForce GTX TITAN Black
